"Gender Inequality Index (GII)"
"19","Japan","0.156"," a","0.135","..","0.146","..","0.118","..","0.117","..","0.126","..","0.127","..","0.125","..","0.118","..","0.106","..","0.103",".."
"95","Jordan","0.672"," a","0.631","..","0.557","..","0.488","..","0.490","..","0.488","..","0.487","..","0.485","..","0.485","..","0.461","..","0.460",".."
"58","Kazakhstan","0.447"," a","0.404","..","0.360","..","0.273","..","0.260","..","0.232","..","0.221","..","0.210","..","0.208","..","0.200","..","0.197",".."
"142","Kenya","0.706"," a","0.695","..","0.654","..","0.611","..","0.607","..","0.604","..","0.566","..","0.562","..","0.558","..","0.556","..","0.549",".."
"22","Korea (Republic of)","0.277"," a","0.191","..","0.107","..","0.095","..","0.090","..","0.081","..","0.076","..","0.071","..","0.067","..","0.063","..","0.063",".."
"56","Kuwait","0.584"," a","0.583","..","0.371","..","0.219","..","0.215","..","0.228","..","0.226","..","0.325","..","0.326","..","0.301","..","0.270",".."
"122","Kyrgyzstan","0.512"," a","0.476","..","0.677","..","0.379","..","0.383","..","0.380","..","0.383","..","0.380","..","0.393","..","0.392","..","0.392",".."
"139","Lao People's Democratic Republic","..","..","0.578","..","0.543","..","0.506","..","0.499","..","0.491","..","0.484","..","0.476","..","0.470","..","0.462","..","0.461",".."
"41","Latvia","0.411"," a","0.276","..","0.217","..","0.201","..","0.199","..","0.186","..","0.183","..","0.197","..","0.195","..","0.188","..","0.196",".."
"80","Lebanon","..","..","..","..","..","..","0.401","..","0.397","..","0.394","..","0.390","..","0.390","..","0.386","..","0.382","..","0.381",".."
"159","Lesotho","0.576"," a","0.594","..","0.584","..","0.568","..","0.562","..","0.554","..","0.552","..","0.548","..","0.548","..","0.540","..","0.544",".."
"181","Liberia","..","..","0.690","..","0.677","..","0.659","..","0.668","..","0.661","..","0.658","..","0.655","..","0.656","..","0.654","..","0.656",".."
"108","Libya","..","..","..","..","0.270","..","0.211","..","..","..","0.163","..","0.167","..","0.173","..","0.173","..","0.171","..","0.170",".."
"35","Lithuania","0.326"," a","0.281","..","0.185","..","0.159","..","0.163","..","0.137","..","0.135","..","0.131","..","0.128","..","0.123","..","0.123",".."
"21","Luxembourg","0.200"," a","0.175","..","0.156","..","0.121","..","0.103","..","0.106","..","0.082","..","0.078","..","0.071","..","0.066","..","0.066",".."
"171","Malawi","0.718"," a","0.691","..","0.654","..","0.621","..","0.614","..","0.613","..","0.612","..","0.624","..","0.623","..","0.621","..","0.619",".."
"57","Malaysia","0.390"," a","0.336","..","0.324","..","0.310","..","0.310","..","0.303","..","0.292","..","0.284","..","0.287","..","0.288","..","0.287",".."
"101","Maldives","0.649"," a","0.541","..","0.421","..","0.395","..","0.385","..","0.374","..","0.363","..","0.363","..","0.359","..","0.344","..","0.343",".."
"182","Mali","0.728"," a","0.726","..","0.723","..","0.678","..","0.679","..","0.677","..","..","..","0.676","..","0.679","..","0.678","..","0.678",".."
"29","Malta","0.329"," a","0.322","..","0.305","..","0.272","..","0.268","..","0.260","..","0.214","..","0.209","..","0.214","..","0.211","..","0.216",".."
